"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","IEC","IEC Electronics Corp.","4.69","$48.19M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"AMEX","IMUC","ImmunoCellular Therapeutics, Ltd.","0.1147","$14.68M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc",
"AMEX","IMUC.WS","ImmunoCellular Therapeutics, Ltd.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/imuc.ws",
"AMEX","IMH","Impac Mortgage Holdings, Inc.","14.16","$177.45M","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh",
"AMEX","IMO","Imperial Oil Limited","32.15","$27.25B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"AMEX","IOT","Income Opportunity Realty Investors, Inc.","7.5","$31.26M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot",
"AMEX","IRT","Independence Realty Trust, Inc.","8.54","$405.45M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt",
"AMEX","IGC","India Globalization Capital Inc.","0.4619","$10.82M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/igc",
"AMEX","INFU","InfuSystems Holdings, Inc.","2.74","$62.02M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/infu",
"AMEX","IHT","InnSuites Hospitality Trust","2.22","$20.78M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iht",
"AMEX","NSPR","InspireMD, Inc.","0.0825","$2.46M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr",
"AMEX","NSPR.WS","InspireMD, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nspr.ws",
"AMEX","IFMI","Institutional Financial Markets, Inc.","1.0501","$12.71M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ifmi",
"AMEX","IDN","Intellicheck Mobilisa, Inc.","1.67","$17.02M","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn",
"AMEX","INS","Intelligent Systems Corporation","3.74","$32.66M","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ins",
"AMEX","THM","International Tower Hill Mines Ltd","0.73","$84.94M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/thm",
"AMEX","INTT","inTest Corporation","3.96","$41.14M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/intt",
"AMEX","INUV","Inuvo, Inc","1.33","$32.81M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv",
"AMEX","VKI","Invesco Advantage Municipal Income Trust II","12.18","$540.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vki",
"AMEX","ISR","IsoRay, Inc.","0.715","$39.33M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/isr",
"AMEX","ISDR","Issuer Direct Corporation","7.25","$20.64M","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/isdr",
"AMEX","JRJR","JRjr33, Inc.","1.15","$41.5M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/jrjr",
"AMEX","KIQ","Kelso Technologies Inc","0.95","$44.09M","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq",
